idx,size,true_h,exact_h,noisy_h,err_exact,err_noisy
61,2,-0.02521975631719966,-0.025219756317199644,-0.025118838575895905,1.3877787807814457e-17,0.00010091774130375347
62,2,-0.014288229417807455,-0.014288229417807434,-0.014236685557826279,2.0816681711721685e-17,5.154385998117593e-05
63,2,-0.020796472010400913,-0.020796472010400892,-0.020802472895715237,2.0816681711721685e-17,-6.0008853143243834e-06
64,2,-0.0648431756119181,-0.06484317561191803,-0.06491554583099006,6.938893903907228e-17,-7.237021907195718e-05
65,2,0.061630442269429535,0.061630442269429445,0.061638139652967654,-9.020562075079397e-17,7.697383538118885e-06
66,2,0.01981949896377489,0.019819498963774943,0.019887677049243664,5.204170427930421e-17,6.817808546877302e-05
67,2,-0.0321308484440755,-0.03213084844407549,-0.03191409750130587,1.3877787807814457e-17,0.00021675094276963486
68,2,0.013416393914522923,0.01341639391452289,0.013482876352211275,-3.2959746043559335e-17,6.648243768835223e-05
69,2,-0.019795001562795424,-0.01979500156279544,-0.019736712766793063,-1.3877787807814457e-17,5.828879600236134e-05
70,2,-0.009554781243346832,-0.009554781243346827,-0.009695930492095762,5.204170427930421e-18,-0.00014114924874892958
71,2,0.01643185109447098,0.01643185109447108,0.016512311917337714,1.0061396160665481e-16,8.046082286673403e-05
72,2,0.04302342505436551,0.04302342505436549,0.043090744218909065,-2.0816681711721685e-17,6.731916454355558e-05
73,2,0.06860185562345078,0.06860185562345077,0.0686245479587923,-1.3877787807814457e-17,2.269233534152315e-05
74,2,0.07692628748883454,0.07692628748883429,0.07684111712871154,-2.498001805406602e-16,-8.517036012299639e-05
75,2,-0.011235207647765692,-0.011235207647765706,-0.011266848747608882,-1.3877787807814457e-17,-3.1641099843189927e-05
76,2,-0.02256211667667452,-0.02256211667667449,-0.022596338618937097,2.7755575615628914e-17,-3.422194226257794e-05
77,2,0.004496521849062207,0.004496521849062148,0.004493019525355454,-5.898059818321144e-17,-3.5023237067530882e-06
78,2,0.005794302538682942,0.005794302538682991,0.005687791435057123,4.85722573273506e-17,-0.00010651110362581897
79,2,-0.03314786734333011,-0.03314786734333011,-0.032967818879314235,0.0,0.00018004846401587643
80,2,-0.028012556906650745,-0.028012556906650665,-0.028163764938863113,7.979727989493313e-17,-0.0001512080322123681
81,2,0.036716815006100335,0.03671681500610038,0.036683259437771794,4.163336342344337e-17,-3.355556832854156e-05
82,2,0.07412228206163268,0.07412228206163263,0.07415111508753564,-5.551115123125783e-17,2.8833025902952336e-05
