n,t,observable,mean,std,median,q25,q75,n_realizations
9,360,M_gen,0.1700262421,0.06541709668,0.1513652239,0.1240535045,0.2131371081,15
9,362,M_gen,0.1673110134,0.06601675415,0.1462860488,0.1235340874,0.2051886381,15
9,364,M_gen,0.1689958621,0.06520868607,0.1467644357,0.1241660015,0.2033270919,15
9,366,M_gen,0.1703640018,0.06434695815,0.1530471806,0.124111319,0.1959552832,15
9,368,M_gen,0.1685649959,0.0649819218,0.1548648601,0.1270792684,0.1899436246,15
9,370,M_gen,0.1682599456,0.0645952061,0.1499517035,0.1292081729,0.1881543944,15
9,372,M_gen,0.1684324737,0.06713974745,0.1481380014,0.1271541874,0.1892799634,15
9,374,M_gen,0.1685255461,0.06813309353,0.1534134458,0.124251323,0.1888004344,15
9,376,M_gen,0.1693646397,0.06891906632,0.1491652098,0.1267222956,0.1883639635,15
9,378,M_gen,0.1716813619,0.06838390262,0.1448963263,0.1260839698,0.1906072416,15
9,380,M_gen,0.173408569,0.07024595368,0.147442708,0.1252154126,0.1951617303,15
9,382,M_gen,0.1720411263,0.07302594002,0.145364915,0.1221038496,0.1972458538,15
9,384,M_gen,0.1716781668,0.07682853799,0.1438187753,0.1209239136,0.2021936496,15
9,386,M_gen,0.1729757806,0.07783347809,0.1498082683,0.1226360997,0.2035474134,15
9,388,M_gen,0.1738241284,0.07664651049,0.151257291,0.1271700142,0.2028234419,15
9,390,M_gen,0.1730397366,0.07643496094,0.1439737288,0.1306648486,0.1958757376,15
9,392,M_gen,0.1725625321,0.07605119358,0.1424382628,0.1260902767,0.194253458,15
9,394,M_gen,0.170436782,0.076770375,0.1402955902,0.1295010743,0.1925369032,15
9,396,M_gen,0.171239355,0.07581769524,0.1468388327,0.1289498518,0.1938849034,15
9,398,M_gen,0.1689546889,0.0749806387,0.1419666705,0.1264620327,0.1928943518,15
9,400,M_gen,0.1675837178,0.07500696928,0.1412112751,0.1260287259,0.195457464,15
10,0,M_gen,1,3.700743415e-16,1,1,1,10
10,2,M_gen,0.6962558574,0.1346792218,0.7059881592,0.5666033814,0.8051355265,10
10,4,M_gen,0.4897486797,0.2014365389,0.4997722327,0.3122704844,0.6394906634,10
10,6,M_gen,0.3703235459,0.2105478072,0.3651309966,0.1820155951,0.5139776292,10
10,8,M_gen,0.2941708213,0.2015436871,0.2720924022,0.1163534496,0.4166658458,10
10,10,M_gen,0.2459355059,0.1829922037,0.2040124808,0.08659026059,0.3415568839,10
10,12,M_gen,0.2124873514,0.1652381941,0.1558301465,0.08338770242,0.2833642785,10
10,14,M_gen,0.1870456832,0.1501281757,0.1232568063,0.08020684571,0.2375977343,10
10,16,M_gen,0.1691742328,0.1364869621,0.1070469409,0.0781833276,0.2017442562,10
10,18,M_gen,0.1546664626,0.1247222707,0.09555736793,0.07767450573,0.1730905571,10
10,20,M_gen,0.1444297143,0.1140714635,0.09027224783,0.07989085346,0.1497602508,10
10,22,M_gen,0.135805133,0.1052290006,0.08807286876,0.07844211523,0.132152086,10
10,24,M_gen,0.1297092791,0.09697657817,0.08670124792,0.07819991469,0.1203667642,10
10,26,M_gen,0.1257409622,0.08923866466,0.08979749172,0.07746680132,0.1151596587,10
10,28,M_gen,0.1226071665,0.08237712113,0.08925203579,0.07991750088,0.1133409344,10
10,30,M_gen,0.1198890491,0.0764448434,0.09005638454,0.07985933661,0.110763552,10
10,32,M_gen,0.1174986454,0.07154814549,0.08988322697,0.08025998075,0.108862815,10
10,34,M_gen,0.1156367945,0.06686088329,0.09128003942,0.08066750872,0.1086232217,10
10,36,M_gen,0.1147404705,0.06274252053,0.09104282696,0.08406831725,0.1060591319,10
10,38,M_gen,0.1134866315,0.05882555817,0.09160413948,0.08066505365,0.1056910847,10
10,40,M_gen,0.1113221842,0.05520507691,0.09253838243,0.08046358946,0.1050200633,10
10,42,M_gen,0.1104574769,0.05169889046,0.09210052613,0.08116429621,0.1037584805,10
10,44,M_gen,0.1092247113,0.04948588028,0.09368912192,0.07974027592,0.1058976148,10
10,46,M_gen,0.1073135656,0.04705925479,0.09212431321,0.07887173995,0.1043707784,10
10,48,M_gen,0.1067494568,0.04495262651,0.09197215279,0.07898719657,0.1056895603,10
10,50,M_gen,0.1057486037,0.04265001358,0.09109564335,0.08035429222,0.1066450266,10
10,52,M_gen,0.1045571337,0.04052733057,0.09086502934,0.07959096617,0.1037540821,10
10,54,M_gen,0.1044651459,0.0394903549,0.09145777453,0.08032135596,0.1059929214,10
10,56,M_gen,0.1033776671,0.03889118299,0.09023549644,0.07927938227,0.1064295277,10
10,58,M_gen,0.1035216694,0.03768628265,0.09122189623,0.07952007318,0.1058587026,10
10,60,M_gen,0.104266595,0.03601414189,0.09277958431,0.08052828065,0.1060802862,10
10,62,M_gen,0.10369771,0.03511675507,0.09274504384,0.08072122531,0.1062034077,10
10,64,M_gen,0.1035527171,0.03438977123,0.09303559734,0.0821238378,0.1055291511,10
10,66,M_gen,0.1031909298,0.03399777992,0.09325874614,0.08095402327,0.1050036423,10
10,68,M_gen,0.1030432292,0.03300539769,0.09294951511,0.08256630705,0.1050660496,10
10,70,M_gen,0.1034195562,0.03271187458,0.09333067192,0.08293406783,0.1053259048,10
10,72,M_gen,0.1035059754,0.03226669666,0.09213681995,0.08164014497,0.107706684,10
10,74,M_gen,0.1037903991,0.03238457706,0.09167493906,0.08193981207,0.1082409689,10
10,76,M_gen,0.1040293769,0.03228306995,0.09313572101,0.08108259867,0.109023951,10
10,78,M_gen,0.1040348219,0.0312508514,0.09395298791,0.08353182386,0.107252279,10
10,80,M_gen,0.1034781874,0.03137829665,0.09267950737,0.08352016481,0.1074662837,10
10,82,M_gen,0.1031343784,0.03100240426,0.09305912774,0.08343340827,0.10605001,10
10,84,M_gen,0.1031197518,0.03105644826,0.09148402931,0.08335718802,0.1077023077,10
10,86,M_gen,0.1024176496,0.03130519281,0.09161989027,0.08264785013,0.1041271519,10
10,88,M_gen,0.1041176266,0.03108349439,0.09491218101,0.08462422332,0.1062044324,10
