n,t,observable,mean,std,median,q25,q75,n_realizations
6,212,autocorrelation,0.3647782273,0.08661627307,0.3497243157,0.305582681,0.4016928446,30
6,214,autocorrelation,0.3675652806,0.07920099051,0.3376120981,0.3233220848,0.3935429763,30
6,216,autocorrelation,0.3531000989,0.09032941624,0.3344716599,0.298544152,0.3757567951,30
6,218,autocorrelation,0.3647141455,0.08158699639,0.346195463,0.3126615564,0.3972784851,30
6,220,autocorrelation,0.3664517458,0.09063231957,0.3445527351,0.3094257415,0.3931753497,30
6,222,autocorrelation,0.3504318075,0.08723268816,0.3272338433,0.3044998534,0.3850221925,30
6,224,autocorrelation,0.3535330604,0.08082030659,0.3329178619,0.3172605466,0.3794336208,30
6,226,autocorrelation,0.3529819902,0.08757626798,0.333023524,0.296791183,0.3865185148,30
6,228,autocorrelation,0.3568956295,0.09215072906,0.3435793532,0.2943741667,0.3833754928,30
6,230,autocorrelation,0.3709823411,0.09877318455,0.3454449131,0.3212795172,0.3825086345,30
6,232,autocorrelation,0.3702946187,0.09633359052,0.3566418243,0.303400968,0.3990766697,30
6,234,autocorrelation,0.3644375917,0.08790884731,0.3519368204,0.3125718431,0.3769929016,30
6,236,autocorrelation,0.3609310877,0.09045818811,0.3434147254,0.3061088152,0.3883693756,30
6,238,autocorrelation,0.3647627405,0.08689363129,0.3518197055,0.3182673096,0.3880351882,30
6,240,autocorrelation,0.3727145992,0.09237334646,0.3465286923,0.3208240478,0.41277188,30
6,242,autocorrelation,0.3713866145,0.08550701578,0.3639344869,0.3103101453,0.4176959125,30
6,244,autocorrelation,0.3607240473,0.08753051133,0.3405555869,0.301410749,0.4037253892,30
6,246,autocorrelation,0.3506649487,0.08820608542,0.3263550185,0.2952640344,0.3829389083,30
6,248,autocorrelation,0.3487685904,0.08346587144,0.3234554532,0.2993223274,0.3713722406,30
6,250,autocorrelation,0.3530729268,0.08311075255,0.3352391895,0.3012958059,0.3659196782,30
6,252,autocorrelation,0.3574735366,0.081494758,0.3377950748,0.3091603234,0.3967178556,30
6,254,autocorrelation,0.3603120797,0.08261276039,0.3363463101,0.3151089122,0.3764355758,30
6,256,autocorrelation,0.3564986158,0.08724595213,0.3452790017,0.2853938266,0.3897263575,30
6,258,autocorrelation,0.3678277323,0.08764661428,0.3433026967,0.3084630185,0.3981417678,30
6,260,autocorrelation,0.3574476624,0.09423598467,0.3292386506,0.2975593105,0.3898333578,30
6,262,autocorrelation,0.3638273231,0.09184722174,0.3364880518,0.3053631661,0.4124272519,30
6,264,autocorrelation,0.3699726309,0.09517820047,0.3513313791,0.3116963322,0.4182548178,30
6,266,autocorrelation,0.3694346787,0.09668808275,0.3415943688,0.3059667783,0.4250224767,30
6,268,autocorrelation,0.3591481356,0.1047627942,0.3435723167,0.2969487383,0.3828436216,30
6,270,autocorrelation,0.3587980515,0.1017996883,0.3259055609,0.2931175726,0.4048874734,30
6,272,autocorrelation,0.3629293462,0.09684647352,0.3442153394,0.3149514272,0.3761418732,30
6,274,autocorrelation,0.3503680265,0.1033525201,0.3152988528,0.2912761569,0.3751369386,30
6,276,autocorrelation,0.3572179106,0.09600084632,0.3357363784,0.2983459008,0.390556508,30
6,278,autocorrelation,0.3599751428,0.0824802631,0.3370190391,0.3149138172,0.3769895073,30
6,280,autocorrelation,0.3661870623,0.08774954689,0.3477432486,0.314487541,0.4150892383,30
6,282,autocorrelation,0.377659258,0.08806864111,0.367920267,0.3178637035,0.4173971174,30
6,284,autocorrelation,0.3647168936,0.08498024977,0.3509634002,0.3058537166,0.3989469253,30
6,286,autocorrelation,0.3589258008,0.08394076128,0.3386394565,0.3048697281,0.389450937,30
6,288,autocorrelation,0.356140347,0.08827866178,0.3477144705,0.2858423498,0.3925726564,30
6,290,autocorrelation,0.3668331002,0.09180255734,0.3616320872,0.3032732399,0.4147549859,30
6,292,autocorrelation,0.3649808085,0.09080742943,0.3423062088,0.3033111953,0.4112256205,30
6,294,autocorrelation,0.3613062479,0.09713373295,0.3458432596,0.3109615386,0.3804534973,30
6,296,autocorrelation,0.3610009444,0.09498072209,0.339279187,0.3008557039,0.4040002253,30
6,298,autocorrelation,0.3716075788,0.09673864546,0.341666906,0.3084395861,0.4092701052,30
6,300,autocorrelation,0.3720431398,0.0901538545,0.3540025307,0.3154659431,0.397647907,30
6,302,autocorrelation,0.369558651,0.09400422324,0.3475848865,0.3069082103,0.4240533189,30
6,304,autocorrelation,0.3500113561,0.0901919203,0.3244511333,0.2912481343,0.3866155615,30
6,306,autocorrelation,0.3532429153,0.08662669876,0.3344594843,0.2896806223,0.3898241775,30
6,308,autocorrelation,0.3582555416,0.08935682849,0.3308887842,0.3068837314,0.3817731483,30
6,310,autocorrelation,0.3545366843,0.08385690852,0.3470456432,0.3065885712,0.3778541201,30
